路線名,駅名,優先度,駅番号,隣接駅番号1,所要時間1,隣接駅番号2,所要時間2,隣接駅番号3,所要時間3
銀座線,渋谷,1,G01,,,,,,
銀座線,表参道,,G02,G01,2,,,,
銀座線,外苑前,,G03,G02,2,,,,
銀座線,青山一丁目,,G04,G03,1,,,,
銀座線,赤坂見附,,G05,G04,2,,,,
銀座線,溜池山王,,G06,G05,2,,,,
銀座線,虎ノ門,,G07,G06,2,,,,
銀座線,新橋,,G08,G07,2,,,,
銀座線,銀座,,G09,G08,2,,,,
銀座線,京橋,,G10,G09,2,,,,
銀座線,日本橋,,G11,G10,1,,,,
銀座線,三越前,,G12,G11,2,,,,
銀座線,神田,,G13,G12,2,,,,
銀座線,末広町,,G14,G13,1,,,,
銀座線,上野広小路,,G15,G14,2,,,,
銀座線,上野,,G16,G15,1,,,,
銀座線,稲荷町,,G17,G16,2,,,,
銀座線,田原町,,G18,G17,2,,,,
